n,number_of_variables,number_of_states,number_of_transitions,well_formed,weight,weight_calculation_time,mean_time_usage,time_usage_unit
1,2,4,5,True,1,0.00083,0.227,second
2,4,7,10,True,1,0.00142,0.225,second
3,6,10,15,True,1,0.00206,0.242,second
4,8,13,20,True,1,0.00273,0.234,second
5,10,16,25,True,1,0.00345,0.258,second
6,12,19,30,True,1,0.00441,0.3,second
7,14,22,35,True,1,0.00511,0.354,second
8,16,25,40,True,1,0.00571,0.392,second
9,18,28,45,True,1,0.00661,0.467,second
10,20,31,50,True,1,0.00797,0.611,second
11,22,34,55,True,1,0.00893,0.735,second
12,24,37,60,True,1,0.01014,0.894,second
13,26,40,65,True,1,0.01175,1.061,second
14,28,43,70,True,1,0.01235,1.259,second
15,30,46,75,True,1,0.01368,1.467,second
16,32,49,80,True,1,0.01506,1.737,second
17,34,52,85,True,1,0.01675,2.085,second
18,36,55,90,True,1,0.01775,2.47,second
19,38,58,95,True,1,0.01997,2.911,second
20,40,61,100,True,1,0.0212,3.469,second
25,50,76,125,True,1,0.02899,7.332,second
30,60,91,150,True,1,0.03988,13.466,second
35,70,106,175,True,1,0.04876,22.775,second
40,80,121,200,True,1,0.06242,35.894,second
45,90,136,225,True,1,0.07681,56.14,second
50,100,151,250,True,1,0.09049,83.05,second
55,110,166,275,True,1,0.12046,114.16,second
60,120,181,300,True,1,0.14535,156.80,second
65,130,196,325,True,1,0.167,207.30,second
70,140,211,350,True,1,0.22362,286.87,second
75,150,226,375,True,1,0.28362,402.43,second
80,160,241,400,True,1,0.25867,506.33,second